"tranportador_atrasou","PALLETS","troca_ordem","troc_h_carga","troc_h_descarga","troc_recurso","recurso_extra","isca","retorno","possui_prioridade","numero_acessos","numero_de_macros","numero_manutencao","ultimo_odometro_dia","GR_JORNADA","CIDADE_OPERACO","OPERACAO","ERAS_DESCRICAO","IDADE_CAVALO","IDADE_CARRETA","MARCA_CAVALO","MARCA_CARRETA","numero_paradas_proibidas","VIAG_VALOR_CARGA","VIAG_PESO_TOTAL","VIAG_DISTANCIA","delta_inicio_cadastro","delta_fim_inicio","numero_paradas.rast","numero_paradas.gris"
"1",26,"0","0","0","0","0","0","0","1",1,18,0,363966,"1","CVL","SPOT","NV FROTA",4,4,"MERCEDES-BENZ","NOMA",0,43719.75,30851.32,558.93,0.393611111111111,67.0902777777778,6,32
"0",28,"0","0","0","0","0","0","0","1",2,32,0,125911,"1","MAR","SPOT","NV FROTA",1,9,"SCANIA","LIBRELATO",0,90384.47,35447.19,197.9,0.474166666666667,6.73305555555556,8,6
"0",28,"0","0","0","0","0","0","0","1",2,34,0,122304,"1","MAR","CROSS","NV FROTA",1,5,"DAF","FACCHINI",0,53606.19,34958,205.96,0.7675,8.12638888888889,9,4
"0",28,"0","0","0","0","0","0","0","1",4,43,0,148241,"1","MAR","CROSS","NV FROTA",1,5,"DAF","FACCHINI",0,73840.94,32583.59,197.9,0.911666666666667,6.98777777777778,6,6
"1",28,"0","0","0","0","0","0","0","1",3,42,1,131924,"1","MAR","CROSS","NV FROTA",1,5,"DAF","FACCHINI",0,89834.21,31983.44,206.33,0.560277777777778,3.90694444444444,6,4
"0",28,"0","0","0","0","0","0","0","1",4,32,0,142189,"1","MAR","CROSS","NV FROTA",1,5,"DAF","FACCHINI",0,101655.6,33451.22,205.96,0.359722222222222,4.81,6,4
"1",26,"0","0","0","0","0","0","0","1",2,22,1,358858,"1","CVL","SPOT","NV FROTA",4,5,"MERCEDES-BENZ","FACCHINI",0,95692.75,29778.74,761.36,0.732222222222222,78.7716666666667,4,47
"1",28,"0","0","0","0","0","0","0","1",2,22,1,41179,"1","CVL","SPOT","NV FROTA",0,4,"SCANIA","RANDON",0,116667.13,32214,578.63,0.330833333333333,25.5563888888889,4,28
"1",28,"0","0","0","0","0","0","0","1",1,15,0,145434,"1","CVL","SPOT","NV FROTA",2,0,"DAF","FACCHINI",0,102399.11,30468.12,205.96,0.184722222222222,5.10888888888889,3,4
"0",26,"0","0","0","0","0","0","0","1",3,32,0,80821455,"1","MAR","CROSS","NV FROTA",1,5,"DAF","FACCHINI",0,44465.01,34820.6,205.96,0.52,5.71166666666667,5,4
"0",26,"0","0","0","0","0","0","0","1",3,34,0,143085,"1","MAR","CROSS","NV FROTA",1,5,"DAF","FACCHINI",0,45071.83,34806.2,175.09,3.02111111111111,6.10388888888889,6,4
"1",28,"0","0","0","0","0","0","0","1",2,32,1,108385,"1","MAR","CROSS","NV FROTA",1,7,"DAF","FACCHINI",0,103486.29,32537.5,206.33,1.96305555555556,0.810555555555556,5,4
"0",28,"0","0","0","0","0","0","0","1",4,28,1,136187,"1","MAR","CROSS","NV FROTA",1,5,"DAF","FACCHINI",0,65302.41,33121.16,205.96,1.59194444444444,18.5133333333333,3,4
"1",28,"0","0","0","0","0","0","0","1",1,14,2,158297,"1","MAR","CROSS","NV FROTA",1,5,"DAF","FACCHINI",0,116696.55,32214,206.33,8.14083333333333,17.2455555555556,4,4
